Moça;Wando;lQ1Wcyw30Xo
My Love;Margie Joseph;1x5hLq74fGA
Angie;Rolling Stones;K5_EBAzIPJM
Stop, Look, Listen (To Your Heart);Diana Ross & Marvin Gaye;zzg8Vm8rYrs
Sylvia;Stevie Wonder;vzQWIchC_n0
Amendoim Torradinho;Doris Monteiro;78OrptGD4wA
Cadê Você;Odair José;ykX7Jych0HE
Toró de Lágrimas;Djalma Dias;SqZDwR4HjvA
Disritmia;Martinho da Vila;ObU62GlC7mE
Machine Gun;Commodores;ho_Od3o9OLg
A Festa do Divino;Ivan Lins;I9FjGF92TG4
Soleado;Francisco Cuoco;P_SMtEhrDKE
Além de Tudo;Benito Di Paula;NZPkABKXlzo
Alvorecer;Clara Nunes;wcBlmSRtIvU
Dancing Machine;Jackson 5;o8HkEprSaAs
Amor Que Não Presta Não Serve Pra Mim;Angela Maria;YeP-gm_QQvo
Devil Or Angel;Bryan Hyland;nPMRMrUDP0w
Aquarela Brasileira;Elza Soares;LazBunCCy-8
As Andorinhas;Secos & Molhados;tvYkWwc-JDU
Mistura de Carimbó;Eliana Pittman;Zkxgo0yC1dE
Dont Worry Bout A Thing;Stevie Wonder;BOz3p6k5O2g
Ballad Of Danny Bayley;Elton John;2y3EMjrjIqk
Que Diacho de Dor;Maria Creuza;fz1AFz6MaMI
Conto de Areia;Clara Nunes;t6QEMGq74iQ
No Broken Heart;Chrystian;fgI_EUvJVDU
De Amor Eu Morrerei;Gal Costa;eBkCGPOgvAk
Dona da Casa;Antonio Carlos & Jocafi;tFx_vy2tN7g
Na Hora do Almoço;Belchior;d_YB1PTPLcc
Charlie Brown;Benito Di Paula;zsx9wKH6L7Y
E Lá Vou Eu;João Nogueira;4jc2hvWl3NU
El Rey;Secos & Molhados;jJ67hyq4O9M
Pledging My Love;Diana Ross & Marvin Gaye;AyStAZj1JQI
Esses Moços (Pobres Moços);Gilberto Gil;2Ys68nziYcA
All In Love Is Fair;Stevie Wonder;OxNw9LmWq-E
In The Rain;Dramatics;PxIPhbNbBCI
João de Barro;Sergio Reis;LsluLzAPgoA
Maior é Deus;Beth Carvalho;tacFqcQ5ZqI
Make It Easy On Yourself;Oscar Toney Jr;EuITOI5k8K0
Maracatu Atômico;Gilberto Gil;mMS-k1Znk2A
De Conversa em Conversa;Maria Creuza;AX7a6YxHNCk
Veneno;Eduardo Gudin, Márcia & Paulo Cesar Pinheiro;kE-RSEKRBw0
Nervos de Aço;Paulinho da Viola;Cno5fRugZoY
A Dona do Primeiro Andar;Os Originais do Samba;dkeB6rmRbJI
Tell Me A Lie;Sammi Jo;Qe7gPNlHZi8
O Trem das Sete;Raul Seixas;vBnRwIRer4E
Como é Duro Trabalhar;Toquinho & Vinicius;GcDFnVrkPHw
O Espigão;Zé Rodrix;E1vBDpVJBOY
O Vira;Secos & Molhados;vDvjecJOpa4
Retalhos de Cetim;Benito Di Paula;Z1DVYcUK3PY
Sangue Latino;Secos & Molhados;BliqScxpNRs
Skyline Pigeon;Elton John;nPzlGklVNb0
Só Quero Um Xodó;Gilberto Gil;AzCgA-a3sUo
Killing Me Softly With His Song;Roberta Flack;LQ2t5e7stVM
Gostava Tanto de Você;Tim Maia;TZQsoLACMW0
Ouro de Tolo;Raul Seixas;cn0S56WPkjQ
Uma Vida Só (Pare de Tomar a Pílula);Odair José;E9uVeecg1ZI
Your Song;Billy Paul;22jMZdBUzDI
Esse Cara;Maria Bethânia;9J4K851aal4
Tie A Yellow Ribbon Round The Ole Oak Tree;Tony Orlando & Dawn;wWn1Oj2V7Xw
My Love;Paul McCartney;NkcnRsLYXT0
Music And Me;Michael Jackson;Qo7s4rwLnCI
Proposta;Roberto Carlos;TVbgpDsckI4
Crocodile Rock;Elton John;QS-YZlJLCbM
Estrada da Vida;Milionário & José Rico;JBT2KrL5His
Neither One Of Us;Gladys Knight & The Pips;n_Lh4MFiw08
Eu Bebo Sim;Elizeth Cardoso;DU6TwSbxFp4
Me And Mrs. Jones;Billy Paul;81bgy94vdRI
Orgulho de Um Sambista;Jair Rodrigues;mWNs-Gw47w4
Daniel;Elton John;UA78e27R_J4
Do You Love Me;Shariff Dean;fBaO3TL2dB0
Brother Louie;Stories;aJxZL9L6YWc
Tristeza Pé no Chão;Clara Nunes;iqEBPq6nvPU
Clair;Gilbert OSullivan;sU9fClvdo5s
You Are The Sunshine Of My Life;Stevie Wonder;3wZ_b_uUAdQ
Why Cant We Live Together;Timmy Thomas;KYx2uZRlJCk
Rosa de Hiroshima;Secos & Molhados;DwVc0G3IKU4
Youre A Lady;Peter Skellern;_YPXPDDk7TI
Forever And Ever;Demis Roussos;F3vCB3YBMUo
O Homem de Nazareth;Antonio Marcos;1BbZGOf905U
Oh Girl;ChiLites;pjN8huzS2Nc
Camisa 10;Luis Américo;9UyObhycMEM
Also Sprach Zarathustra (2001);Deodato;RJKsp9_L24Q
A Cigana;Roberto Carlos;46BqkeUqs4I
Do You Like Samba;Ciro Aguiar;xj42vU25bzk
Sorria, Sorria;Evaldo Braga;kArqRMMlMTs
The Guitar Man;Bread;hrsKJ0KUyJw
Diamond Girl;Seals & Crofts;RC-oP84mRME
Viagem;Marisa;tTAHDpQc7k8
O Menino da Porteira;Sérgio Reis;oxHGSXBAEC0
The Morning After;Maureen McGovern;_KClpLzFftU
Réu Confesso;Tim Maia;_0s7qVLDiB4
Superwoman;Stevie Wonder;U-ohttPIqco
Push Together;Chakachas;PlFE9qNmObo
Youre So Vain;Carly Simon;mQZmCJUSC6g
Ill Be Fine;Pete Dunaway;zXbV9mOOFPk
Lets Get It On;Marvin Gaye;x6QZn9xiuOE
Listen;Paul Bryan;ovbOXqFhmVo
Dont Say Goodbye;Chrystian;CgvtQma_zm4
Angie;The Rolling Stones;K5_EBAzIPJM
Ive Been Around;Nathan Jones;2qzpJyasAFQ
Serafim e Seus Filhos;Ruy Maurity Trio;y08emOzCCLI
Oh, Babe, What Would You Say?;Hurricane Smith;qnxoTCvklKQ
Meu Pai Oxalá;Toquinho & Vinícius;_ahsXzmmplU
Masterpiece;Temptations;U3z5NKskK60
Painted Ladies;Ian Thomas;QRvY-I9pNpI
Listen To The Music;Doobie Brothers;GVgMzKMgNxw
Eu, Você e a Praça;Odair José;2PZJ8ZWYgMs
Superstition;Stevie Wonder;0CFuCYNx-1g
Rockin Roll Baby;Stylistics;EDfVgFCkYxI
Dont Mess With Mister T;Marvin Gaye;PzOPx5EE_g8
Monkberry Moon Delight;Exuma;raNCRfMvRUQ
Boi da Cara Preta (Eneida, Amor e Fantasia);Jair Rodrigues;oBFXa0yEVUA
E Agora José;Paulo Diniz;1L9mZIxgaq0
Cristo, Quem é Você;Odair José;BHGYdCh-rNM
Porta Aberta;Luiz Ayrão;Mn8glA-2FcU
Homem de Verdade;Djalma Dias;Mj1zYDilmsc
Drama;Maria Bethânia;0BCyZeATaQo
Estácio Holy Estácio;Luiz Melodia;7wC1UfRj59M
A Desconhecida;Fernando Mendes;iEPFIXdxZAM
Eu Não Sou Cachorro Não;Waldik Soriano;PxNmQYbbkco
Soul Makossa;Manu Dibango;aWK_Josc0Og
Summer Breeze;Seals & Crofts;MsW8rXPcnM0
Folhas Secas;Elis Regina;2JPnhwFJofk
Al Capone;Raul Seixas;jGUVnolU9QE
For Once In My Life;Gladys Knight & The Pips;I2WUALkeEVM
Meu Sapato Já Furou;Clara Nunes;yEfnau5TqxQ
Cachaça Mecânica;Erasmo Carlos;XUOgpSlMH7w
Funky Stuff;Kool & The Gang;5Tkyiow_77U
Folhas Secas;Beth Carvalho;IG-xYVPvH8c
She Made Me Cry;Pholhas;DzsQALD8QBk
Long Train Running;Doobie Brothers;tnD0eVdHJfI
No More Troubles;Sharif Dean;Nkw9XcFMg7I
It Never Rains In Southern California;Albert Hammond;-pyC7WnvLT4
Mosca na Sopa;Raul Seixas;uILahrIRiMA
Tá Todo Mundo Louco;Silvio Brito;0iFhov2NaEU
He;Family Child;mOk3bcyJX7o
Metamorfose Ambulante;Raixas;7VE6PNwmr9g
Não Tenho Culpa de Ser Triste;Nelson Ned;u67-oquMAe4
Comportamento Geral;Gonzaguinha;RLxQ1UyHDD4
Tell Me Once Again;Light Reflections;Nmsc-OaQeY0
The Snake;El Chicles;jV1AMBa7qP4
Que as Crianças Cantem Livres;Taiguara;Hblc6hnf8fg
Cavalo Ferro;Fagner;D7L2Og08A50
Naquela Mesa;Elizeth Cardoso;1Cx3S8TCCQE
Eu Disse Adeus;Maria Creuza;2CDZyyD1mC4
Volta;Gal Costa;cl6ZzTnCdKY
Sing;Carpenters;1rWMlm4Zm8Q
Alone Again (Naturally);Gilbert OSullivan;D_P-v1BVQn8
Ilu Ayê;Clara Nunes;9bcnkzsx-YY
Fio Maravilha;Maria Alcina;AYucUeksWPA
The First Time Ever I Saw Your Face;Roberta Flack;r9jmusgMgro
Rock And Roll Lullaby;B.J. Thomas;niIW7Ns2HJw
Como Vai Você;Roberto Carlos;BJJ0C_DeqXc
Summer Holiday;Terry Winter;PVWCoFuJUGY
Casa no Campo;Elis Regina;1edqNf1AYBE
Without You;Nilsson;_bQGRRolrg0
Ben;Michael Jackson;g40WCBaUXR4
Mangueira, Minha Madrinha Querida (Tengo Tengo);Jair Rodrigues;YTE76KKh6Lc
Soley Soley;Middle Of The Road;rm_bhJ7-ddA
Imagine;John Lennon;DVg2EJvvlF8
Betcha By Golly, Wow;Stylistics;alvEUFJtMw8
Águas de Março;Elis Regina;Qle1OrunKnE
Tell Me Once Again;Light Reflections;Nmsc-OaQeY0
A Horse With No Name;America;zSAJ0l4OBHM
Atrás da Porta;Elis Regina;35FPZR24djg
Long Ago And Tomorrow;B.J. Thomas;qB9NyN9Qu8s
Oração de Mãe Menininha;Maria Bethânia & Gal Costa;6UZP5b99ir4
Das 200 Pra Lá;Eliana Pittman;8hfs2VTcHiA
Lets Stay Together;Al Green;COiIC3A0ROM
Eu Quero é Botar Meu Bloco na Rua;Sergio Sampaio;rsiAN__ii7E
Mammy Blue;Ricky Shayne;Iw1uTVTGKmE
Esperanças Perdidas;Os Originais do Samba;pG2BXpFAqbI
Morning Has Broken;Cat Stevens;kKoRp05L95c
Rocket Man;Elton John;-LX7WrHCaUA
Concerto Pour Un Été;Alain Patrick;2X3uOKrmo44
Canário do Reino;Tim Maia;i_ZDX2Q7rdA
