 Wando
 Johnny Rivers
 Osvaldo Nunes
 Gigliola Cinquetti
 Geraldo Vandré
 People
 Mirelle Mathieu
 Silvinha
 Sergio Mendes & Brasil 66
 Dionne Warwick
 Bobby Goldsboro
 O.C. Smith
 Donovan
 Tommy James & The Shondells
 Merrilee Rush & The Turnabouts
 Beth Carvalho & Golden Boys
 John Fred & His Playboy Band
 Lafayette
 Classics IV
 The Association
 Georgie Fame
 Romuald
 Hugo Montenegro
 Otis Redding
 1910 Fruitgum Co.
 Leno
 Robert Livi
 The Lovin Spoonful
 The Box Tops
 Cynara & Cybele
 Tom Zé
 Brenton Wood
 João da Baiana
 Martinha
 Mary Hopkin
 The Monkees
 The Tremeloes
 Odete Amaral
 Shirley and Alfred
 Engelbert Humperdinck
 The Beatles
 José Ricardo
 José Mendes
 Orlando Dias
 Ohio Express
 Vicki Carr
 Marilia Medalha
 The Lemon Pipers
 Wayne Fontana
 Michel Polnareff
 Wanderley Cardoso
 Nancy Sinatra & Frank Sinatra
 Happenings
 Los Bravos
 Hermans Hermitz
 Jerry Adriani
 Bobby Di Carlo
 George Freedman
 Procol Harum
 Ary Cordovil
 Seekers
 Petula Clark
 Ary Lobo
 Hermans Hermits
 Nancy Sinatra
 Wanderléa
 Monkees
 Ed Carlos
 Bob Crewe Generation
 Chris Montez
 Wilson Miranda
 Chico Buarque & MPB4
 New Vaudeville Band
 Waldirene
 Five Americans
 The Sandpipers
 Zé Kéti
 Roberto Rei
 João Dias
 Gutemberg Guarabira & Grupo Manifesto
 Matt Monro
 Gianni Morandi
 Os Baobás
 The Turtles
 Leno & Lilian
 Rosemary
 Morgana
 Adriana
 Os Iguais
 The Yardbirds
 Johnny Halliday
 Carlos Gonzaga
 The Mindbenders
 Edu Lobo & Marilia Medalha
 Suzy Darlen
 Kátia Cilene
 Luigi Tenco
 Andy Williams
 The Four Tops
 Zé Fidelis
 Nara Leão
 Hervé Villard
 Pino Donaggio
 Os Vips
 Frank Sinatra
 Christophe
 Herb Alpert & The Tijuana Brass
 The Mamas & The Papas
 The Jordans
 Ornella Vanoni
 Renato & Seus Blue Caps
 Carlos José
 Pery Ribeiro
 Eduardo Araújo
 Guy Martell
 The Bells
 Jimmy Fontana
 Sam The Sham & The Pharaohs
 Sonny & Cher
 Chico Buarque, Odete Lara & MPB4
 Tony Bennett
 The Jet Blacks
 The Peels
 Nino Rosso
 Ray Conniff
 The McCoys
 Cidinha Santos
 Bobby Rydell
 Dusty Springfield
 WAnderley Cardoso
 Luiz Carlos
 Nino Ferrer
 Marcos Roberto
 Denise Barreto
 Maritza Fabiani
 Bob Dylan
 Brazilian Bitles
 Sônia Delfino
 Fevers
 Demônios da Garoa
 John Foster
 Alain Barrière
 Noite Ilustrada
 Shaw Elliott
 The Animals
 Eydie Gormé & Trio Los Panchos
 Roberto Muller
 Manuela
 Nilton Cesar
 Michele
 Trini Lopez
 Ary Toledo
 Bert Kaempfert
 Julie Andrews
 Jorge Goulart
 The Byrds
 Henry Mancini
 Carlos Alberto
 Millie Small
 Richard Anthony
 Nico Fidenco
 Nara leão
 Emilinha Borba
 Ed Wilson
 Os Cariocas
 Meire Pavão
 Trio Melodia
 Alaíde Costa
 Zé Keti
 Fernando Pereira
 Gary Lewis & The Playboys
 Barbara Streisand
 Giane
 Dalida
 Bobby Solo
 Ian Whicomb
 Lana Bittencourt
 Lindomar Castilho
 Tony Campello
 Dion
 Rita Pavone
 Ronnie Cord
 Demetrius
 Jorge Veiga
 Louis Armstrong
 Ray Charles Singers
 The Clevers
 Dean Martin
 Silvinho
 Stan Getz & Astrud Gilberto
 Souer Sourire
 Silvana
 Oslaim Galvão
 The Kingsmen
 Adilson Ramos
 Lesley Gore
 Olivinha Carvalho
 Hebe Camargo
 Tenório Jr.
 Chubby Checker
 Bobby Vinton
 Nino Tempo & April Stevens
 Sergio Ricardo
 Dercy Gonçalves
 Quarteto em Cy
 Los Indios Tabajaras
 Lucho Gatica
 Al Hirt
 Bienvenido Granda
 Leila Silva
 Jimmy Gilmer & The Fireballs
 Prini Lorenz
 Albert Pavão
 Martha Mendonça
 Sergio Odilon
 Ray Charles
 Tito Madi
 Nelson Gonçalves
 Alcides Gerardi
 Eydie Gormé
 Nilo Amaro & Os Cantores de Ébano
 Peppino Di Capri
 Skeeter Davis
 Little Peggy March
 Luiz Vieira
 Kyu Sakamoto
 Lawrence Welk
 Cauby Peixoto
 Gilda Lopes
 Steve Lawrence
 Rivingtons
 Carlos Nobre
 Buzz Clifford
 Cyro Monteiro
 Ralf Bendix
 The Surfaris
 Rômulo Alencar
 Conjunto Farroupilha
 Paul & Paula
 Dircinha Batista
 Ruby & The Romantics
 Vinicius de Moraes & Odete Lara
 Jamelão
 Isaura Garcia
 Anísio Silva
 Nhá Barbina
 Brenda Lee
 Orlan Divo
 Four Seasons
 Antonio Pietro
 Juca Chaves
 Dora Lopez
 Radamés Gnatalli
 Gilda Valença
 Joe Reisman
 José Messias
 Emilio Pericoli
 Johnny Mathis
 Paulo Marques
 Valter Levita
 Leny Eversong
 Paulo Ricardo
 Helena de Lima
 Bobby Darin
 Rinaldo Calheiros
 Joey Dee & The Starlites
 Renato Guimarães
 Coral do Corpo de Bombeiros
 Kenny Ball & His Jazzmen
 Raul Sampaio
 José Leão
 Harold Nicholas
 Ellen de Lima
 Joey Dee & The Starliters
 Os Pequenos Cantores
 Miltinho
 Sergio Murilo
 Mr. Acker Bilk
 Carlos Augusto
 Mário Alves
 Rui Rey
 Carlos Galhardo
 Edith Veiga
 Vanja Orico
 Pat Boone
 Billy Vaughn
 Rosemary & Os Cometas
 Roberto Silva
 Celly Campello
 Lucienne Franco
 Fernando Costa
 Silvio Caldas
 The Everly Brothers
 Roy Orbison
 Sue Thompson
 Luiz de Andrade
 Conjunto Alvorada & Meire Pavão
 Carlos Lyra
 Duane Eddy
 Bruce Channel
 Rinaldo Calheiros & Silvana
 Ana Shirley
 Barbara George
 Rosana Toledo
 Shelley Fabares
 Baby Santiago
